symbol,name,sector,sub_industry,degree_centrality,weighted_degree,betweenness,eigenvector,closeness
IVZ,Invesco,Financials,Asset Management & Custody Banks,0.13,23.111054391027956,0.0044569138276553105,0.0442716035239933,0.15433702633158633
J,Jacobs Solutions,Industrials,Construction & Engineering,0.0,0.0,0.0,4.297616962637649e-15,0.0
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,0.01,1.8000396872280178,0.0011142284569138276,0.00014398832867493132,0.10316586091999556
JBL,Jabil,Information Technology,Electronic Manufacturing Services,0.18,32.648396927953236,2.404809619238477e-05,0.054767003549835054,0.15772794641290497
JCI,Johnson Controls,Industrials,Building Products,0.034,6.384817392363166,0.00013627254509018035,0.006471707792626712,0.12863454907534871
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,0.146,25.89890593301063,0.010549098196392786,0.03900081303622805,0.1582746549873812
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,0.35000000000000003,71.72899580779432,0.03376352705410821,0.11433929849324338,0.19976885857048546
JPM,JPMorgan Chase,Financials,Diversified Banks,0.052000000000000005,11.459489919762273,0.0012104208416833667,0.004627309334374368,0.1291562110658914
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,0.124,24.33937177113862,0.0,0.05391960631901774,0.1600172492003559
KEY,KeyCorp,Financials,Regional Banks,0.108,22.97681163317308,0.0006092184368737475,0.027368147702739796,0.14609843475906495
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,0.1,16.74466409857203,0.0,0.036051460795837,0.14420637885804308
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,0.20600000000000002,40.25564514541018,0.0002645290581162325,0.0742137409203251,0.17060849904929154
KIM,Kimco Realty,Real Estate,Retail REITs,0.094,17.877438997411538,0.0027334669338677352,0.03178506128638182,0.14777882947924095
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,0.198,39.30217955330957,0.0061482965931863726,0.06992290122467625,0.1701808884348424
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,0.26,51.87152963244712,0.000344689378757515,0.08732612372640791,0.1749490718710763
KMB,Kimberly-Clark,Consumer Staples,Household Products,0.232,45.17989065926217,0.0,0.0845616858996525,0.17652323854221275
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,0.062,11.981996412398194,0.020480961923847695,0.016721128469876192,0.1454821671702389
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,0.372,81.64104878849602,0.019519038076152306,0.13056564106722002,0.20588418821333393
KR,Kroger,Consumer Staples,Food Retail,0.24,47.392130634106735,0.00023246492985971943,0.08864227676593867,0.18111687437995777
KVUE,Kenvue,Consumer Staples,Personal Care Products,0.068,11.87168509116641,0.0,0.03171125250247575,0.144311726752716
L,Loews Corporation,Financials,Multi-line Insurance,0.196,39.72722414105052,0.0025250501002004005,0.07138721325461579,0.16774754297438732
LDOS,Leidos,Industrials,Diversified Support Services,0.006,1.144266603915433,0.0,0.00048215835187579874,0.10145694736042543
LEN,Lennar,Consumer Discretionary,Homebuilding,0.03,7.576719832011825,0.0006492985971943888,0.000907864286529135,0.12183457388673681
LH,Labcorp,Health Care,Health Care Services,0.006,1.249341936906007,0.0,0.0020339959808976043,0.13192417311438656
